2025-09-28 09:02:46,979 - INFO - 找到 86 个有效Excel文件
2025-09-28 09:02:46,980 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\361南宸专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,033 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\361南宸专卖店产品质量数据.xlsx, 数据行数: 375
2025-09-28 09:02:47,033 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\361嘉昕专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,072 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\361嘉昕专卖店产品质量数据.xlsx, 数据行数: 254
2025-09-28 09:02:47,072 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\361增硕专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,097 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\361增硕专卖店产品质量数据.xlsx, 数据行数: 113
2025-09-28 09:02:47,097 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\361度亮彩专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,126 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\361度亮彩专卖店产品质量数据.xlsx, 数据行数: 137
2025-09-28 09:02:47,126 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\361度景熙运动专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,140 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\361度景熙运动专卖店产品质量数据.xlsx, 数据行数: 34
2025-09-28 09:02:47,141 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\361度精典专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,168 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\361度精典专卖店产品质量数据.xlsx, 数据行数: 130
2025-09-28 09:02:47,169 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\361度精特运动专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,192 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\361度精特运动专卖店产品质量数据.xlsx, 数据行数: 98
2025-09-28 09:02:47,192 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\361度运动袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,252 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\361度运动袜旗舰店产品质量数据.xlsx, 数据行数: 396
2025-09-28 09:02:47,253 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\361弈鑫专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:47,284 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\361弈鑫专卖店产品质量数据.xlsx, 数据行数: 227
2025-09-28 09:02:47,284 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\361捷昕专卖店产品质量数据.xlsx 使用引擎: openpyxl
